week,date,day,slot,time,pillar,weekly_theme,editorial_angle,format,working_title,hook,outline,cta,source
9,2026-10-21,Wednesday,PM,17:00,Harness Engineering,"Harness Engineering - Foundations, part 1",Foundations,lessons listicle,5 lessons about tool orchestration layers teams learn too late (foundations),Every one of these tool orchestration layers lessons was paid for in an incident review.,"Five one-line lessons framed from first principles, each with the consequence of ignoring it | Order them from cheap-to-fix to career-limiting | End with the earliest warning signal to watch for",Repost this so your team sees it.,github.com/rohitg00/ai-engineering-from-scratch
9,2026-10-22,Thursday,AM,09:00,Harness Engineering,"Harness Engineering - Foundations, part 1",Foundations,hands-on tutorial,Hands-on: tool schema design in under an hour (foundations),Stop reading about tool schema design. Here is the smallest real exercise that teaches it from first principles.,Define the end state: what exists and runs when the hour is up | Give the 4-6 numbered steps with the commands or code per step | Include the verification step that proves it worked,Save this for your next design review.,github.com/ai-boost/awesome-harness-engineering
9,2026-10-22,Thursday,PM,17:00,Harness Engineering,"Harness Engineering - Foundations, part 1",Foundations,common mistakes checklist,The tool schema design mistakes checklist (foundations),Five checks that catch 90% of tool schema design mistakes before they ship.,"Five yes/no checks phrased so 'no' means stop and fix, targeting mistakes made from first principles | For each: the symptom you will see in production if skipped | Make it screenshot-able as a single card",Follow along - this series runs all week.,github.com/ai-boost/awesome-harness-engineering
9,2026-10-23,Friday,AM,09:00,Harness Engineering,"Harness Engineering - Foundations, part 1",Foundations,contrarian take,Hot take: most advice about verification loops inside the harness is wrong (foundations),"The standard advice on verification loops inside the harness optimizes for the demo, not the system you actually run.",State the conventional wisdom fairly - steelman it in two lines | Show the specific context where it fails and the evidence | Give the replacement heuristic and its own limits,Comment your take - I read every reply.,curriculum.md Layer 2.3
9,2026-10-23,Friday,PM,17:00,Harness Engineering,"Harness Engineering - Foundations, part 1",Foundations,debate prompt,"Debate: is verification loops inside the harness necessary, or overengineering? (foundations)","Two senior engineers, opposite positions on verification loops inside the harness, both with production scars. Pick a side.","Present position A with its strongest supporting scenario, argued from first principles | Present position B with its strongest supporting scenario | Ask readers to reply with their context - team size, scale, stakes",Bookmark this; you will need it at 3am someday.,curriculum.md Layer 2.3
9,2026-10-24,Saturday,AM,09:00,Harness Engineering,"Harness Engineering - Foundations, part 1",Foundations,recap + quiz,"Week 9 recap and quiz: Harness Engineering - Foundations, part 1",Six days of material in three questions. Answers in Monday's post.,"Recap in one line each: the agent = model + harness equation; inner vs outer harness boundaries; tool orchestration layers; tool schema design; verification loops inside the harness | Three quiz questions: one recall, one application, one design tradeoff | Invite answers in the comments; no lookups allowed",Tag someone who is debugging this right now.,agent-harness-engineering.md
9,2026-10-24,Saturday,PM,17:00,Harness Engineering,"Harness Engineering - Foundations, part 1",Foundations,weekend challenge,Weekend challenge: context and memory layers (foundations),90 focused minutes on context and memory layers this weekend beats another saved-and-forgotten bookmark.,"Define a scoped build/read exercise on context and memory layers, from first principles, with a visible artifact | Point to the exact starting resource: agent-harness-engineering.md | Ask readers to post their artifact and tag it for review",Repost this so your team sees it.,agent-harness-engineering.md
10,2026-10-25,Sunday,AM,09:00,Harness Engineering,"Harness Engineering - Foundations, part 2",Foundations,theme kickoff,"Week 10 kickoff - Harness Engineering - Foundations, part 2","This week: harness engineering, from first principles. If the term is familiar but the mechanics are fuzzy, this pass is for you.",Name the week's six topics: guardrail layers; harness observability; structural fixes over prompt patches; tool permission models; sandboxing and isolation; environment routing | One sentence on why this pillar matters at this angle right now | State what readers will be able to do by Saturday,Save this for your next design review.,github.com/DenisSergeevitch/agents-best-practices
10,2026-10-25,Sunday,PM,17:00,Harness Engineering,"Harness Engineering - Foundations, part 2",Foundations,poll,Poll (week 10): where are you with harness engineering?,Quick pulse-check before the deep dives start tomorrow.,Option A: learning the vocabulary | Option B: built it once in a side project | Option C: run it in production | Option D: debugged it during an incident,Follow along - this series runs all week.,github.com/DenisSergeevitch/agents-best-practices
10,2026-10-26,Monday,AM,09:00,Harness Engineering,"Harness Engineering - Foundations, part 2",Foundations,concept deep-dive,"guardrail layers, explained from first principles",Most engineers can name guardrail layers. Far fewer can explain the mechanics. Here is the foundations version.,"Define guardrail layers in two sentences, no jargon | Walk the core mechanism step by step with one concrete example | State the one misconception that causes the most damage",Comment your take - I read every reply.,github.com/rohitg00/ai-engineering-from-scratch
10,2026-10-26,Monday,PM,17:00,Harness Engineering,"Harness Engineering - Foundations, part 2",Foundations,annotated diagram,guardrail layers in one diagram (foundations),"If you cannot draw guardrail layers, you do not understand it yet.",Draw the components and the data flow between them | Annotate the step where the interesting work happens | Mark the failure point in red and say why it fails there,Bookmark this; you will need it at 3am someday.,github.com/rohitg00/ai-engineering-from-scratch
10,2026-10-27,Tuesday,AM,09:00,Harness Engineering,"Harness Engineering - Foundations, part 2",Foundations,repo walkthrough,Inside awesome-harness-engineering: harness observability in real code (foundations),Theory posts about harness observability are everywhere. Today: where it actually lives in github.com/ai-boost/awesome-harness-engineering.,"Point to the exact files/sections in github.com/ai-boost/awesome-harness-engineering that implement or document harness observability | Trace one path through the code or material end to end | Extract the one design decision worth stealing, read from first principles",Tag someone who is debugging this right now.,github.com/ai-boost/awesome-harness-engineering
10,2026-10-27,Tuesday,PM,17:00,Harness Engineering,"Harness Engineering - Foundations, part 2",Foundations,snippet / config tip,A working snippet for harness observability (foundations),One copy-pasteable block that makes harness observability concrete.,"Show a minimal, runnable snippet or config exercising the concept | Annotate the two lines people get wrong | State the expected output so readers can self-verify",Repost this so your team sees it.,github.com/ai-boost/awesome-harness-engineering
10,2026-10-28,Wednesday,AM,09:00,Harness Engineering,"Harness Engineering - Foundations, part 2",Foundations,case study,Case study: structural fixes over prompt patches in production (foundations),"A real team, a real system, and structural fixes over prompt patches under actual load. What happened next was predictable in hindsight.","Set the scene: company scale, constraint, and why this concept was on the critical path | Walk the decision, the implementation, and the number that moved | Close with the transferable rule about structural fixes over prompt patches",Save this for your next design review.,curriculum.md Layer 2.3
10,2026-10-28,Wednesday,PM,17:00,Harness Engineering,"Harness Engineering - Foundations, part 2",Foundations,lessons listicle,5 lessons about structural fixes over prompt patches teams learn too late (foundations),Every one of these structural fixes over prompt patches lessons was paid for in an incident review.,"Five one-line lessons framed from first principles, each with the consequence of ignoring it | Order them from cheap-to-fix to career-limiting | End with the earliest warning signal to watch for",Follow along - this series runs all week.,curriculum.md Layer 2.3
10,2026-10-29,Thursday,AM,09:00,Harness Engineering,"Harness Engineering - Foundations, part 2",Foundations,hands-on tutorial,Hands-on: tool permission models in under an hour (foundations),Stop reading about tool permission models. Here is the smallest real exercise that teaches it from first principles.,Define the end state: what exists and runs when the hour is up | Give the 4-6 numbered steps with the commands or code per step | Include the verification step that proves it worked,Comment your take - I read every reply.,agent-harness-engineering.md
10,2026-10-29,Thursday,PM,17:00,Harness Engineering,"Harness Engineering - Foundations, part 2",Foundations,common mistakes checklist,The tool permission models mistakes checklist (foundations),Five checks that catch 90% of tool permission models mistakes before they ship.,"Five yes/no checks phrased so 'no' means stop and fix, targeting mistakes made from first principles | For each: the symptom you will see in production if skipped | Make it screenshot-able as a single card",Bookmark this; you will need it at 3am someday.,agent-harness-engineering.md
10,2026-10-30,Friday,AM,09:00,Harness Engineering,"Harness Engineering - Foundations, part 2",Foundations,contrarian take,Hot take: most advice about sandboxing and isolation is wrong (foundations),"The standard advice on sandboxing and isolation optimizes for the demo, not the system you actually run.",State the conventional wisdom fairly - steelman it in two lines | Show the specific context where it fails and the evidence | Give the replacement heuristic and its own limits,Tag someone who is debugging this right now.,github.com/DenisSergeevitch/agents-best-practices
10,2026-10-30,Friday,PM,17:00,Harness Engineering,"Harness Engineering - Foundations, part 2",Foundations,debate prompt,"Debate: is sandboxing and isolation necessary, or overengineering? (foundations)","Two senior engineers, opposite positions on sandboxing and isolation, both with production scars. Pick a side.","Present position A with its strongest supporting scenario, argued from first principles | Present position B with its strongest supporting scenario | Ask readers to reply with their context - team size, scale, stakes",Repost this so your team sees it.,github.com/DenisSergeevitch/agents-best-practices
10,2026-10-31,Saturday,AM,09:00,Harness Engineering,"Harness Engineering - Foundations, part 2",Foundations,recap + quiz,"Week 10 recap and quiz: Harness Engineering - Foundations, part 2",Six days of material in three questions. Answers in Monday's post.,"Recap in one line each: guardrail layers; harness observability; structural fixes over prompt patches; tool permission models; sandboxing and isolation | Three quiz questions: one recall, one application, one design tradeoff | Invite answers in the comments; no lookups allowed",Save this for your next design review.,github.com/rohitg00/ai-engineering-from-scratch
10,2026-10-31,Saturday,PM,17:00,Harness Engineering,"Harness Engineering - Foundations, part 2",Foundations,weekend challenge,Weekend challenge: environment routing (foundations),90 focused minutes on environment routing this weekend beats another saved-and-forgotten bookmark.,"Define a scoped build/read exercise on environment routing, from first principles, with a visible artifact | Point to the exact starting resource: github.com/rohitg00/ai-engineering-from-scratch | Ask readers to post their artifact and tag it for review",Follow along - this series runs all week.,github.com/rohitg00/ai-engineering-from-scratch
11,2026-11-01,Sunday,AM,09:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 1",Foundations,theme kickoff,"Week 11 kickoff - Loop & Graph Engineering - Foundations, part 1","This week: loop & graph engineering, from first principles. If the term is familiar but the mechanics are fuzzy, this pass is for you.","Name the week's six topics: loop anatomy: trigger, topology, verifier, stop rules; the verifier as the bottleneck; computational vs inferential verification; LLM-as-judge pitfalls; stop rules and iteration budgets; the four nested loops | One sentence on why this pillar matters at this angle right now | State what readers will be able to do by Saturday",Comment your take - I read every reply.,curriculum.md Layers 2.4-2.5
11,2026-11-01,Sunday,PM,17:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 1",Foundations,poll,Poll (week 11): where are you with loop & graph engineering?,Quick pulse-check before the deep dives start tomorrow.,Option A: learning the vocabulary | Option B: built it once in a side project | Option C: run it in production | Option D: debugged it during an incident,Bookmark this; you will need it at 3am someday.,curriculum.md Layers 2.4-2.5
11,2026-11-02,Monday,AM,09:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 1",Foundations,concept deep-dive,"loop anatomy: trigger, topology, verifier, stop rules, explained from first principles","Most engineers can name loop anatomy: trigger, topology, verifier, stop rules. Far fewer can explain the mechanics. Here is the foundations version.","Define loop anatomy: trigger, topology, verifier, stop rules in two sentences, no jargon | Walk the core mechanism step by step with one concrete example | State the one misconception that causes the most damage",Tag someone who is debugging this right now.,github.com/langchain-ai/langgraph
11,2026-11-02,Monday,PM,17:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 1",Foundations,annotated diagram,"loop anatomy: trigger, topology, verifier, stop rules in one diagram (foundations)","If you cannot draw loop anatomy: trigger, topology, verifier, stop rules, you do not understand it yet.",Draw the components and the data flow between them | Annotate the step where the interesting work happens | Mark the failure point in red and say why it fails there,Repost this so your team sees it.,github.com/langchain-ai/langgraph
11,2026-11-03,Tuesday,AM,09:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 1",Foundations,repo walkthrough,Inside loop-engineering: the verifier as the bottleneck in real code (foundations),Theory posts about the verifier as the bottleneck are everywhere. Today: where it actually lives in github.com/cobusgreyling/loop-engineering.,"Point to the exact files/sections in github.com/cobusgreyling/loop-engineering that implement or document the verifier as the bottleneck | Trace one path through the code or material end to end | Extract the one design decision worth stealing, read from first principles",Save this for your next design review.,github.com/cobusgreyling/loop-engineering
11,2026-11-03,Tuesday,PM,17:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 1",Foundations,snippet / config tip,A working snippet for the verifier as the bottleneck (foundations),One copy-pasteable block that makes the verifier as the bottleneck concrete.,"Show a minimal, runnable snippet or config exercising the concept | Annotate the two lines people get wrong | State the expected output so readers can self-verify",Follow along - this series runs all week.,github.com/cobusgreyling/loop-engineering
11,2026-11-04,Wednesday,AM,09:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 1",Foundations,case study,Case study: computational vs inferential verification in production (foundations),"A real team, a real system, and computational vs inferential verification under actual load. What happened next was predictable in hindsight.","Set the scene: company scale, constraint, and why this concept was on the critical path | Walk the decision, the implementation, and the number that moved | Close with the transferable rule about computational vs inferential verification",Comment your take - I read every reply.,curriculum.md Layers 2.4-2.5
11,2026-11-04,Wednesday,PM,17:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 1",Foundations,lessons listicle,5 lessons about computational vs inferential verification teams learn too late (foundations),Every one of these computational vs inferential verification lessons was paid for in an incident review.,"Five one-line lessons framed from first principles, each with the consequence of ignoring it | Order them from cheap-to-fix to career-limiting | End with the earliest warning signal to watch for",Bookmark this; you will need it at 3am someday.,curriculum.md Layers 2.4-2.5
11,2026-11-05,Thursday,AM,09:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 1",Foundations,hands-on tutorial,Hands-on: LLM-as-judge pitfalls in under an hour (foundations),Stop reading about LLM-as-judge pitfalls. Here is the smallest real exercise that teaches it from first principles.,Define the end state: what exists and runs when the hour is up | Give the 4-6 numbered steps with the commands or code per step | Include the verification step that proves it worked,Tag someone who is debugging this right now.,github.com/langchain-ai/langgraph
11,2026-11-05,Thursday,PM,17:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 1",Foundations,common mistakes checklist,The LLM-as-judge pitfalls mistakes checklist (foundations),Five checks that catch 90% of LLM-as-judge pitfalls mistakes before they ship.,"Five yes/no checks phrased so 'no' means stop and fix, targeting mistakes made from first principles | For each: the symptom you will see in production if skipped | Make it screenshot-able as a single card",Repost this so your team sees it.,github.com/langchain-ai/langgraph
11,2026-11-06,Friday,AM,09:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 1",Foundations,contrarian take,Hot take: most advice about stop rules and iteration budgets is wrong (foundations),"The standard advice on stop rules and iteration budgets optimizes for the demo, not the system you actually run.",State the conventional wisdom fairly - steelman it in two lines | Show the specific context where it fails and the evidence | Give the replacement heuristic and its own limits,Save this for your next design review.,github.com/cobusgreyling/loop-engineering
11,2026-11-06,Friday,PM,17:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 1",Foundations,debate prompt,"Debate: is stop rules and iteration budgets necessary, or overengineering? (foundations)","Two senior engineers, opposite positions on stop rules and iteration budgets, both with production scars. Pick a side.","Present position A with its strongest supporting scenario, argued from first principles | Present position B with its strongest supporting scenario | Ask readers to reply with their context - team size, scale, stakes",Follow along - this series runs all week.,github.com/cobusgreyling/loop-engineering
11,2026-11-07,Saturday,AM,09:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 1",Foundations,recap + quiz,"Week 11 recap and quiz: Loop & Graph Engineering - Foundations, part 1",Six days of material in three questions. Answers in Monday's post.,"Recap in one line each: loop anatomy: trigger, topology, verifier, stop rules; the verifier as the bottleneck; computational vs inferential verification; LLM-as-judge pitfalls; stop rules and iteration budgets | Three quiz questions: one recall, one application, one design tradeoff | Invite answers in the comments; no lookups allowed",Comment your take - I read every reply.,curriculum.md Layers 2.4-2.5
11,2026-11-07,Saturday,PM,17:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 1",Foundations,weekend challenge,Weekend challenge: the four nested loops (foundations),90 focused minutes on the four nested loops this weekend beats another saved-and-forgotten bookmark.,"Define a scoped build/read exercise on the four nested loops, from first principles, with a visible artifact | Point to the exact starting resource: curriculum.md Layers 2.4-2.5 | Ask readers to post their artifact and tag it for review",Bookmark this; you will need it at 3am someday.,curriculum.md Layers 2.4-2.5
12,2026-11-08,Sunday,AM,09:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 2",Foundations,theme kickoff,"Week 12 kickoff - Loop & Graph Engineering - Foundations, part 2","This week: loop & graph engineering, from first principles. If the term is familiar but the mechanics are fuzzy, this pass is for you.",Name the week's six topics: hill-climbing the harness itself; recoverable-error vs hard-blocker classification; single-agent vs multi-agent tradeoffs; org graphs vs work graphs; typed handoff contracts; policy routers | One sentence on why this pillar matters at this angle right now | State what readers will be able to do by Saturday,Tag someone who is debugging this right now.,github.com/langchain-ai/langgraph
12,2026-11-08,Sunday,PM,17:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 2",Foundations,poll,Poll (week 12): where are you with loop & graph engineering?,Quick pulse-check before the deep dives start tomorrow.,Option A: learning the vocabulary | Option B: built it once in a side project | Option C: run it in production | Option D: debugged it during an incident,Repost this so your team sees it.,github.com/langchain-ai/langgraph
12,2026-11-09,Monday,AM,09:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 2",Foundations,concept deep-dive,"hill-climbing the harness itself, explained from first principles",Most engineers can name hill-climbing the harness itself. Far fewer can explain the mechanics. Here is the foundations version.,"Define hill-climbing the harness itself in two sentences, no jargon | Walk the core mechanism step by step with one concrete example | State the one misconception that causes the most damage",Save this for your next design review.,github.com/cobusgreyling/loop-engineering
12,2026-11-09,Monday,PM,17:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 2",Foundations,annotated diagram,hill-climbing the harness itself in one diagram (foundations),"If you cannot draw hill-climbing the harness itself, you do not understand it yet.",Draw the components and the data flow between them | Annotate the step where the interesting work happens | Mark the failure point in red and say why it fails there,Follow along - this series runs all week.,github.com/cobusgreyling/loop-engineering
12,2026-11-10,Tuesday,AM,09:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 2",Foundations,repo walkthrough,Inside curriculum.md Layers 2.4-2.5: recoverable-error vs hard-blocker classification in real code (foundations),Theory posts about recoverable-error vs hard-blocker classification are everywhere. Today: where it actually lives in curriculum.md Layers 2.4-2.5.,"Point to the exact files/sections in curriculum.md Layers 2.4-2.5 that implement or document recoverable-error vs hard-blocker classification | Trace one path through the code or material end to end | Extract the one design decision worth stealing, read from first principles",Comment your take - I read every reply.,curriculum.md Layers 2.4-2.5
12,2026-11-10,Tuesday,PM,17:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 2",Foundations,snippet / config tip,A working snippet for recoverable-error vs hard-blocker classification (foundations),One copy-pasteable block that makes recoverable-error vs hard-blocker classification concrete.,"Show a minimal, runnable snippet or config exercising the concept | Annotate the two lines people get wrong | State the expected output so readers can self-verify",Bookmark this; you will need it at 3am someday.,curriculum.md Layers 2.4-2.5
12,2026-11-11,Wednesday,AM,09:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 2",Foundations,case study,Case study: single-agent vs multi-agent tradeoffs in production (foundations),"A real team, a real system, and single-agent vs multi-agent tradeoffs under actual load. What happened next was predictable in hindsight.","Set the scene: company scale, constraint, and why this concept was on the critical path | Walk the decision, the implementation, and the number that moved | Close with the transferable rule about single-agent vs multi-agent tradeoffs",Tag someone who is debugging this right now.,github.com/langchain-ai/langgraph
12,2026-11-11,Wednesday,PM,17:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 2",Foundations,lessons listicle,5 lessons about single-agent vs multi-agent tradeoffs teams learn too late (foundations),Every one of these single-agent vs multi-agent tradeoffs lessons was paid for in an incident review.,"Five one-line lessons framed from first principles, each with the consequence of ignoring it | Order them from cheap-to-fix to career-limiting | End with the earliest warning signal to watch for",Repost this so your team sees it.,github.com/langchain-ai/langgraph
12,2026-11-12,Thursday,AM,09:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 2",Foundations,hands-on tutorial,Hands-on: org graphs vs work graphs in under an hour (foundations),Stop reading about org graphs vs work graphs. Here is the smallest real exercise that teaches it from first principles.,Define the end state: what exists and runs when the hour is up | Give the 4-6 numbered steps with the commands or code per step | Include the verification step that proves it worked,Save this for your next design review.,github.com/cobusgreyling/loop-engineering
12,2026-11-12,Thursday,PM,17:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 2",Foundations,common mistakes checklist,The org graphs vs work graphs mistakes checklist (foundations),Five checks that catch 90% of org graphs vs work graphs mistakes before they ship.,"Five yes/no checks phrased so 'no' means stop and fix, targeting mistakes made from first principles | For each: the symptom you will see in production if skipped | Make it screenshot-able as a single card",Follow along - this series runs all week.,github.com/cobusgreyling/loop-engineering
12,2026-11-13,Friday,AM,09:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 2",Foundations,contrarian take,Hot take: most advice about typed handoff contracts is wrong (foundations),"The standard advice on typed handoff contracts optimizes for the demo, not the system you actually run.",State the conventional wisdom fairly - steelman it in two lines | Show the specific context where it fails and the evidence | Give the replacement heuristic and its own limits,Comment your take - I read every reply.,curriculum.md Layers 2.4-2.5
12,2026-11-13,Friday,PM,17:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 2",Foundations,debate prompt,"Debate: is typed handoff contracts necessary, or overengineering? (foundations)","Two senior engineers, opposite positions on typed handoff contracts, both with production scars. Pick a side.","Present position A with its strongest supporting scenario, argued from first principles | Present position B with its strongest supporting scenario | Ask readers to reply with their context - team size, scale, stakes",Bookmark this; you will need it at 3am someday.,curriculum.md Layers 2.4-2.5
12,2026-11-14,Saturday,AM,09:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 2",Foundations,recap + quiz,"Week 12 recap and quiz: Loop & Graph Engineering - Foundations, part 2",Six days of material in three questions. Answers in Monday's post.,"Recap in one line each: hill-climbing the harness itself; recoverable-error vs hard-blocker classification; single-agent vs multi-agent tradeoffs; org graphs vs work graphs; typed handoff contracts | Three quiz questions: one recall, one application, one design tradeoff | Invite answers in the comments; no lookups allowed",Tag someone who is debugging this right now.,github.com/langchain-ai/langgraph
12,2026-11-14,Saturday,PM,17:00,Loop & Graph Engineering,"Loop & Graph Engineering - Foundations, part 2",Foundations,weekend challenge,Weekend challenge: policy routers (foundations),90 focused minutes on policy routers this weekend beats another saved-and-forgotten bookmark.,"Define a scoped build/read exercise on policy routers, from first principles, with a visible artifact | Point to the exact starting resource: github.com/langchain-ai/langgraph | Ask readers to post their artifact and tag it for review",Repost this so your team sees it.,github.com/langchain-ai/langgraph
13,2026-11-15,Sunday,AM,09:00,"Evals, Observability & Governance","Evals, Observability & Governance - Foundations, part 1",Foundations,theme kickoff,"Week 13 kickoff - Evals, Observability & Governance - Foundations, part 1","This week: evals, observability & governance, from first principles. If the term is familiar but the mechanics are fuzzy, this pass is for you.",Name the week's six topics: eval-driven development; unit evals vs end-to-end evals; LLM-as-judge calibration; golden datasets; regression evals in CI; A/B testing agent changes | One sentence on why this pillar matters at this angle right now | State what readers will be able to do by Saturday,Save this for your next design review.,curriculum.md Layer 4
13,2026-11-15,Sunday,PM,17:00,"Evals, Observability & Governance","Evals, Observability & Governance - Foundations, part 1",Foundations,poll,"Poll (week 13): where are you with evals, observability & governance?",Quick pulse-check before the deep dives start tomorrow.,Option A: learning the vocabulary | Option B: built it once in a side project | Option C: run it in production | Option D: debugged it during an incident,Follow along - this series runs all week.,curriculum.md Layer 4
13,2026-11-16,Monday,AM,09:00,"Evals, Observability & Governance","Evals, Observability & Governance - Foundations, part 1",Foundations,concept deep-dive,"eval-driven development, explained from first principles",Most engineers can name eval-driven development. Far fewer can explain the mechanics. Here is the foundations version.,"Define eval-driven development in two sentences, no jargon | Walk the core mechanism step by step with one concrete example | State the one misconception that causes the most damage",Comment your take - I read every reply.,github.com/DenisSergeevitch/agents-best-practices
13,2026-11-16,Monday,PM,17:00,"Evals, Observability & Governance","Evals, Observability & Governance - Foundations, part 1",Foundations,annotated diagram,eval-driven development in one diagram (foundations),"If you cannot draw eval-driven development, you do not understand it yet.",Draw the components and the data flow between them | Annotate the step where the interesting work happens | Mark the failure point in red and say why it fails there,Bookmark this; you will need it at 3am someday.,github.com/DenisSergeevitch/agents-best-practices
13,2026-11-17,Tuesday,AM,09:00,"Evals, Observability & Governance","Evals, Observability & Governance - Foundations, part 1",Foundations,repo walkthrough,Inside awesome-harness-engineering: unit evals vs end-to-end evals in real code (foundations),Theory posts about unit evals vs end-to-end evals are everywhere. Today: where it actually lives in github.com/ai-boost/awesome-harness-engineering.,"Point to the exact files/sections in github.com/ai-boost/awesome-harness-engineering that implement or document unit evals vs end-to-end evals | Trace one path through the code or material end to end | Extract the one design decision worth stealing, read from first principles",Tag someone who is debugging this right now.,github.com/ai-boost/awesome-harness-engineering
13,2026-11-17,Tuesday,PM,17:00,"Evals, Observability & Governance","Evals, Observability & Governance - Foundations, part 1",Foundations,snippet / config tip,A working snippet for unit evals vs end-to-end evals (foundations),One copy-pasteable block that makes unit evals vs end-to-end evals concrete.,"Show a minimal, runnable snippet or config exercising the concept | Annotate the two lines people get wrong | State the expected output so readers can self-verify",Repost this so your team sees it.,github.com/ai-boost/awesome-harness-engineering
13,2026-11-18,Wednesday,AM,09:00,"Evals, Observability & Governance","Evals, Observability & Governance - Foundations, part 1",Foundations,case study,Case study: LLM-as-judge calibration in production (foundations),"A real team, a real system, and LLM-as-judge calibration under actual load. What happened next was predictable in hindsight.","Set the scene: company scale, constraint, and why this concept was on the critical path | Walk the decision, the implementation, and the number that moved | Close with the transferable rule about LLM-as-judge calibration",Save this for your next design review.,curriculum.md Layer 4
13,2026-11-18,Wednesday,PM,17:00,"Evals, Observability & Governance","Evals, Observability & Governance - Foundations, part 1",Foundations,lessons listicle,5 lessons about LLM-as-judge calibration teams learn too late (foundations),Every one of these LLM-as-judge calibration lessons was paid for in an incident review.,"Five one-line lessons framed from first principles, each with the consequence of ignoring it | Order them from cheap-to-fix to career-limiting | End with the earliest warning signal to watch for",Follow along - this series runs all week.,curriculum.md Layer 4
13,2026-11-19,Thursday,AM,09:00,"Evals, Observability & Governance","Evals, Observability & Governance - Foundations, part 1",Foundations,hands-on tutorial,Hands-on: golden datasets in under an hour (foundations),Stop reading about golden datasets. Here is the smallest real exercise that teaches it from first principles.,Define the end state: what exists and runs when the hour is up | Give the 4-6 numbered steps with the commands or code per step | Include the verification step that proves it worked,Comment your take - I read every reply.,github.com/DenisSergeevitch/agents-best-practices
13,2026-11-19,Thursday,PM,17:00,"Evals, Observability & Governance","Evals, Observability & Governance - Foundations, part 1",Foundations,common mistakes checklist,The golden datasets mistakes checklist (foundations),Five checks that catch 90% of golden datasets mistakes before they ship.,"Five yes/no checks phrased so 'no' means stop and fix, targeting mistakes made from first principles | For each: the symptom you will see in production if skipped | Make it screenshot-able as a single card",Bookmark this; you will need it at 3am someday.,github.com/DenisSergeevitch/agents-best-practices
13,2026-11-20,Friday,AM,09:00,"Evals, Observability & Governance","Evals, Observability & Governance - Foundations, part 1",Foundations,contrarian take,Hot take: most advice about regression evals in CI is wrong (foundations),"The standard advice on regression evals in CI optimizes for the demo, not the system you actually run.",State the conventional wisdom fairly - steelman it in two lines | Show the specific context where it fails and the evidence | Give the replacement heuristic and its own limits,Tag someone who is debugging this right now.,github.com/ai-boost/awesome-harness-engineering
13,2026-11-20,Friday,PM,17:00,"Evals, Observability & Governance","Evals, Observability & Governance - Foundations, part 1",Foundations,debate prompt,"Debate: is regression evals in CI necessary, or overengineering? (foundations)","Two senior engineers, opposite positions on regression evals in CI, both with production scars. Pick a side.","Present position A with its strongest supporting scenario, argued from first principles | Present position B with its strongest supporting scenario | Ask readers to reply with their context - team size, scale, stakes",Repost this so your team sees it.,github.com/ai-boost/awesome-harness-engineering
13,2026-11-21,Saturday,AM,09:00,"Evals, Observability & Governance","Evals, Observability & Governance - Foundations, part 1",Foundations,recap + quiz,"Week 13 recap and quiz: Evals, Observability & Governance - Foundations, part 1",Six days of material in three questions. Answers in Monday's post.,"Recap in one line each: eval-driven development; unit evals vs end-to-end evals; LLM-as-judge calibration; golden datasets; regression evals in CI | Three quiz questions: one recall, one application, one design tradeoff | Invite answers in the comments; no lookups allowed",Save this for your next design review.,curriculum.md Layer 4
